,ip,frequency,org,city,country,region,postal,hostname,location,timezone
126,85.190.157.91,21124,AS199610 marbis GmbH,Los Angeles,US,California,90009,0,"34.0522,-118.2437",America/Los_Angeles
127,85.190.155.17,21061,AS199610 marbis GmbH,Frankfurt am Main,DE,Hesse,60311,0,"50.1155,8.6842",Europe/Berlin
128,98.240.16.31,20978,"AS7922 Comcast Cable Communications, LLC",Nashville,US,Tennessee,37219,c-98-240-16-31.hsd1.tn.comcast.net,"36.1659,-86.7844",America/Chicago
129,72.218.39.145,20923,AS22773 Cox Communications Inc.,Norfolk,US,Virginia,23514,ip72-218-39-145.hr.hr.cox.net,"36.8468,-76.2852",America/New_York
130,94.102.51.17,20874,AS202425 IP Volume inc,Amsterdam,NL,North Holland,1012,no-reverse-dns-configured.com,"52.3740,4.8897",Europe/Amsterdam
131,85.190.155.4,20855,AS199610 marbis GmbH,Frankfurt am Main,DE,Hesse,60311,0,"50.1155,8.6842",Europe/Berlin
132,45.129.33.57,20691,AS202425 IP Volume inc,Berngau,DE,Bavaria,92361,0,"49.2500,11.4000",Europe/Berlin
133,217.115.15.77,20582,AS31078 Alexej Senderkin,Berlin,DE,Berlin,10178,mm.sixtopia.net,"52.5244,13.4105",Europe/Berlin
134,69.73.34.26,20530,AS12083 WideOpenWest Finance LLC,Huntsville,US,Alabama,35804,user-69-73-34-26.knology.net,"34.7304,-86.5859",America/Chicago
135,194.26.25.127,20323,AS63018 Dedicated.com,Los Angeles,US,California,90009,0,"34.0522,-118.2437",America/Los_Angeles
136,45.129.33.122,20242,AS202425 IP Volume inc,Berngau,DE,Bavaria,92361,0,"49.2500,11.4000",Europe/Berlin
137,192.168.43.243,20088,0,0,0,0,0,0,0,0
138,85.190.156.86,19676,AS199610 marbis GmbH,Los Angeles,US,California,90009,0,"34.0522,-118.2437",America/Los_Angeles
139,85.190.157.208,19650,AS199610 marbis GmbH,Los Angeles,US,California,90009,0,"34.0522,-118.2437",America/Los_Angeles
140,98.213.177.91,19566,"AS7922 Comcast Cable Communications, LLC",Chicago,US,Illinois,60666,c-98-213-177-91.hsd1.il.comcast.net,"41.8500,-87.6500",America/Chicago
141,10.75.4.4,19510,0,0,0,0,0,0,0,0
142,45.129.33.154,18874,AS202425 IP Volume inc,Berngau,DE,Bavaria,92361,0,"49.2500,11.4000",Europe/Berlin
143,195.54.160.38,18846,AS49505 OOO Network of data-centers Selectel,Saint Petersburg,RU,St.-Petersburg,190000,0,"59.9386,30.3141",Europe/Moscow
144,71.181.59.47,18837,"AS209 CenturyLink Communications, LLC",Crestview,US,Florida,32536,0,"30.7621,-86.5705",America/Chicago
145,40.74.3.100,18629,AS8075 Microsoft Corporation,Amsterdam,NL,North Holland,1093,0,"52.3618,4.9280",Europe/Amsterdam
146,85.190.157.66,18602,AS199610 marbis GmbH,Los Angeles,US,California,90009,0,"34.0522,-118.2437",America/Los_Angeles
147,162.144.50.35,18486,AS46606 Unified Layer,Houston,US,Texas,77052,server.loganpaul.com,"29.7633,-95.3633",America/Chicago
148,24.16.183.119,18334,"AS33650 Comcast Cable Communications, LLC",Shoreline,US,Washington,98133,c-24-16-183-119.hsd1.wa.comcast.net,"47.7557,-122.3415",America/Los_Angeles
149,94.102.51.29,17783,AS202425 IP Volume inc,Amsterdam,NL,North Holland,1012,customer.fibre7.net,"52.3740,4.8897",Europe/Amsterdam
150,71.68.239.90,17564,AS11426 Charter Communications Inc,Columbia,US,South Carolina,29203,cpe-71-68-239-90.sc.res.rr.com,"34.0635,-81.0265",America/New_York
151,85.190.155.2,17171,AS199610 marbis GmbH,Frankfurt am Main,DE,Hesse,60311,0,"50.1155,8.6842",Europe/Berlin
152,24.202.253.39,16916,AS5769 Videotron Telecom Ltee,Ottawa,CA,Ontario,K1A,modemcable039.253-202-24.mc.videotron.ca,"45.4112,-75.6981",America/Toronto
153,45.129.33.14,16668,AS202425 IP Volume inc,Berngau,DE,Bavaria,92361,0,"49.2500,11.4000",Europe/Berlin
154,24.218.196.119,16624,"AS7015 Comcast Cable Communications, LLC",New Haven,US,Connecticut,06501,c-24-218-196-119.hsd1.ma.comcast.net,"41.3081,-72.9282",America/New_York
155,73.223.120.147,16413,"AS7922 Comcast Cable Communications, LLC",Fairfield,US,California,94533,c-73-223-120-147.hsd1.ca.comcast.net,"38.2494,-122.0400",America/Los_Angeles
156,185.175.93.14,16213,AS44446 OOO SibirInvest,Kyiv,UA,Kyiv City,03027,0,"50.4547,30.5238",Europe/Kiev
157,45.61.142.78,16050,AS213349 OctoSEC LTD,New York City,US,New York,10004,45-61-142-78.nyc.priv.octovpn.net,"40.7143,-74.0060",America/New_York
158,195.54.160.155,15955,AS49505 OOO Network of data-centers Selectel,Saint Petersburg,RU,St.-Petersburg,190000,0,"59.9386,30.3141",Europe/Moscow
159,85.190.157.155,15864,AS199610 marbis GmbH,Los Angeles,US,California,90009,0,"34.0522,-118.2437",America/Los_Angeles
160,51.161.12.231,15828,AS16276 OVH SAS,Montréal,CA,Quebec,H2W,ns570281.ip-51-161-12.net,"45.5088,-73.5878",America/Toronto
161,89.248.160.178,15811,AS202425 IP Volume inc,Amsterdam,NL,North Holland,1012,scanner.openportstats.com,"52.3740,4.8897",Europe/Amsterdam
162,134.255.240.48,15781,AS199610 marbis GmbH,Miami,US,Florida,33102,0,"25.7743,-80.1937",America/New_York
163,103.200.20.158,15671,AS135905 VIETNAM POSTS AND TELECOMMUNICATIONS GROUP,Ho Chi Minh City,VN,Ho Chi Minh,71606,0,"10.8230,106.6296",Asia/Ho_Chi_Minh
164,89.248.172.85,15557,AS202425 IP Volume inc,Amsterdam,NL,North Holland,1012,scanner.openportstats.com,"52.3740,4.8897",Europe/Amsterdam
165,192.99.250.208,15543,AS16276 OVH SAS,Montréal,CA,Quebec,H3B,montreal-game-1.octovpn.net,"45.5005,-73.5684",America/Toronto
166,70.114.67.11,15238,AS11427 Charter Communications Inc,Mesquite,US,Texas,75149,cpe-70-114-67-11.res.rr.com,"32.7668,-96.5992",America/Chicago
167,2.138.73.140,15207,AS3352 TELEFONICA DE ESPANA,Arrecife,ES,Canary Islands,35500,140.red-2-138-73.dynamicip.rima-tde.net,"28.9630,-13.5477",Atlantic/Canary
168,45.129.33.40,15205,AS202425 IP Volume inc,Berngau,DE,Bavaria,92361,0,"49.2500,11.4000",Europe/Berlin
169,45.146.164.85,15030,AS49505 OOO Network of data-centers Selectel,Moscow,RU,Moscow,101000,0,"55.7522,37.6156",Europe/Moscow
170,45.93.201.115,15028,AS50340 OOO Network of data-centers Selectel,Moscow,RU,Moscow,101000,0,"55.7522,37.6156",Europe/Moscow
171,172.18.0.3,15015,0,0,0,0,0,0,0,0
172,185.39.10.83,15001,AS62355 Network Dedicated SAS,Bogotá,CO,Bogota D.C.,111411,0,"4.6097,-74.0817",America/Bogota
173,185.39.10.63,15001,AS62355 Network Dedicated SAS,Bogotá,CO,Bogota D.C.,111411,0,"4.6097,-74.0817",America/Bogota
174,185.39.10.90,15001,AS62355 Network Dedicated SAS,Bogotá,CO,Bogota D.C.,111411,0,"4.6097,-74.0817",America/Bogota
175,94.102.57.187,15001,AS202425 IP Volume inc,Amsterdam,NL,North Holland,1012,0,"52.3740,4.8897",Europe/Amsterdam
176,94.102.57.177,15000,AS202425 IP Volume inc,Amsterdam,NL,North Holland,1012,0,"52.3740,4.8897",Europe/Amsterdam
177,94.102.57.152,15000,AS202425 IP Volume inc,Amsterdam,NL,North Holland,1012,jerene.valledommon.net,"52.3740,4.8897",Europe/Amsterdam
178,94.102.57.186,15000,AS202425 IP Volume inc,Amsterdam,NL,North Holland,1012,0,"52.3740,4.8897",Europe/Amsterdam
179,94.102.57.181,15000,AS202425 IP Volume inc,Amsterdam,NL,North Holland,1012,0,"52.3740,4.8897",Europe/Amsterdam
180,94.102.57.136,15000,AS202425 IP Volume inc,Amsterdam,NL,North Holland,1012,novoseltzev.collaboratemotivate.com,"52.3740,4.8897",Europe/Amsterdam
181,185.39.10.87,15000,AS62355 Network Dedicated SAS,Bogotá,CO,Bogota D.C.,111411,0,"4.6097,-74.0817",America/Bogota
182,94.102.57.188,15000,AS202425 IP Volume inc,Amsterdam,NL,North Holland,1012,0,"52.3740,4.8897",Europe/Amsterdam
183,185.39.10.84,15000,AS62355 Network Dedicated SAS,Bogotá,CO,Bogota D.C.,111411,0,"4.6097,-74.0817",America/Bogota
184,94.102.57.155,15000,AS202425 IP Volume inc,Amsterdam,NL,North Holland,1012,waegeneer.collaboratemotivate.com,"52.3740,4.8897",Europe/Amsterdam
185,94.102.49.3,15000,AS202425 IP Volume inc,Amsterdam,NL,North Holland,1012,no-reverse-dns-configured.com,"52.3740,4.8897",Europe/Amsterdam
186,80.82.65.187,15000,AS202425 IP Volume inc,Amsterdam,NL,North Holland,1012,no-reverse-dns-configured.com,"52.3740,4.8897",Europe/Amsterdam
187,94.102.57.172,14999,AS202425 IP Volume inc,Amsterdam,NL,North Holland,1012,0,"52.3740,4.8897",Europe/Amsterdam
188,80.82.78.188,14999,AS202425 IP Volume inc,Amsterdam,NL,North Holland,1012,no-reverse-dns-configured.com,"52.3740,4.8897",Europe/Amsterdam
189,94.102.57.153,14989,AS202425 IP Volume inc,Amsterdam,NL,North Holland,1012,zerkin.valledommon.net,"52.3740,4.8897",Europe/Amsterdam
190,93.174.93.26,14988,AS202425 IP Volume inc,Amsterdam,NL,North Holland,1012,no-reverse-dns-configured.com,"52.3740,4.8897",Europe/Amsterdam
191,45.129.33.47,14773,AS202425 IP Volume inc,Berngau,DE,Bavaria,92361,0,"49.2500,11.4000",Europe/Berlin
192,95.156.209.80,14728,AS199610 marbis GmbH,Frankfurt am Main,DE,Hesse,60311,0,"50.1155,8.6842",Europe/Berlin
193,23.92.23.97,14726,"AS63949 Linode, LLC",Newark,US,New Jersey,07175,nb-23-92-23-97.newark.nodebalancer.linode.com,"40.7357,-74.1724",America/New_York
194,94.102.57.179,14504,AS202425 IP Volume inc,Amsterdam,NL,North Holland,1012,0,"52.3740,4.8897",Europe/Amsterdam
195,85.190.159.36,14473,AS199610 marbis GmbH,Miami,US,Florida,33102,0,"25.7743,-80.1937",America/New_York
196,45.129.33.4,14406,AS202425 IP Volume inc,Berngau,DE,Bavaria,92361,0,"49.2500,11.4000",Europe/Berlin
197,69.132.188.195,14383,AS11426 Charter Communications Inc,Charlotte,US,North Carolina,28211,cpe-69-132-188-195.carolina.res.rr.com,"35.1677,-80.7932",America/New_York
198,138.99.216.171,14359,AS43350 NForce Entertainment B.V.,Krimpen aan den IJssel,NL,South Holland,2923,0,"51.9167,4.6028",Europe/Amsterdam
199,80.82.65.149,14115,AS202425 IP Volume inc,Amsterdam,NL,North Holland,1012,0,"52.3740,4.8897",Europe/Amsterdam
200,51.19.116.219,14052,AS5607 Sky UK Limited,Leicester,GB,England,LE1,0,"52.6386,-1.1317",Europe/London
201,67.247.112.61,13839,AS12271 Charter Communications Inc,East Harlem,US,New York,10029,cpe-67-247-112-61.nyc.res.rr.com,"40.7947,-73.9425",America/New_York
202,51.210.222.29,13815,AS16276 OVH SAS,Calais,FR,Hauts-de-France,62100,ns3178866.ip-51-210-222.eu,"50.9519,1.8563",Europe/Paris
203,134.255.240.160,13767,AS199610 marbis GmbH,Miami,US,Florida,33102,0,"25.7743,-80.1937",America/New_York
204,45.146.165.25,13608,AS49505 OOO Network of data-centers Selectel,Moscow,RU,Moscow,101000,0,"55.7522,37.6156",Europe/Moscow
205,117.25.184.90,13539,AS4134 CHINANET-BACKBONE,Hangzhou,CN,Zhejiang,0,0,"30.2936,120.1614",Asia/Shanghai
206,174.232.9.3,13409,AS22394 Cellco Partnership DBA Verizon Wireless,Cleveland,US,Ohio,44192,3.sub-174-232-9.myvzw.com,"41.4995,-81.6954",America/New_York
207,103.145.13.58,13337,AS213371 ABC Consultancy,Zwolle,NL,Overijssel,8035,0,"52.5538,6.1537",Europe/Amsterdam
208,87.251.74.205,13093,AS204490 Kontel LLC,Moscow,RU,Moscow,101000,0,"55.7522,37.6156",Europe/Moscow
209,85.190.155.14,13090,AS199610 marbis GmbH,Frankfurt am Main,DE,Hesse,60311,0,"50.1155,8.6842",Europe/Berlin
210,185.156.73.57,13063,AS44446 OOO SibirInvest,Novosibirsk,RU,Novosibirsk Oblast,630091,0,"55.0411,82.9344",Asia/Novosibirsk
211,96.27.220.108,13062,AS12083 WideOpenWest Finance LLC,Evansville,US,Indiana,47708,d27-96-108-220.evv.wideopenwest.com,"37.9748,-87.5559",America/Chicago
212,199.231.233.23,13014,"AS36231 Tempest Hosting, LLC",Independence,US,Missouri,64051,0,"39.0911,-94.4155",America/Chicago
213,99.140.85.90,12968,"AS7018 AT&T Services, Inc.",Mentor,US,Ohio,44061,99-140-85-90.lightspeed.bcvloh.sbcglobal.net,"41.6662,-81.3396",America/New_York
214,76.229.174.200,12641,"AS7018 AT&T Services, Inc.",Louisville,US,Kentucky,40259,76-229-174-200.lightspeed.lsvlky.sbcglobal.net,"38.2542,-85.7594",America/Kentucky/Louisville
215,151.242.57.186,12595,AS31549 Aria Shatel Company Ltd,Tehran,IR,Tehrān,0,151-242-57-186.shatel.ir,"35.6944,51.4215",Asia/Tehran
216,31.214.160.41,12370,AS199610 marbis GmbH,Karlsruhe,DE,Baden-Württemberg,76133,0,"49.0094,8.4044",Europe/Berlin
217,51.161.98.213,12333,AS16276 OVH SAS,Montréal,CA,Quebec,H3A,ovh-ca1.ddosfiltering.net,"45.5040,-73.5747",America/Toronto
218,54.39.102.187,12272,AS16276 OVH SAS,Montréal,CA,Quebec,H3A,ns561076.ip-54-39-102.net,"45.5040,-73.5747",America/Toronto
219,10.72.2.22,12258,0,0,0,0,0,0,0,0
220,85.190.155.29,11990,AS199610 marbis GmbH,Frankfurt am Main,DE,Hesse,60311,0,"50.1155,8.6842",Europe/Berlin
221,31.214.160.44,11956,AS199610 marbis GmbH,Karlsruhe,DE,Baden-Württemberg,76133,0,"49.0094,8.4044",Europe/Berlin
222,45.129.33.81,11926,AS202425 IP Volume inc,Berngau,DE,Bavaria,92361,0,"49.2500,11.4000",Europe/Berlin
223,5.182.173.11,11861,AS60609 APFUTURA INTERNACIONAL SOLUCIONES SL,Girona,ES,Catalonia,17001,0,"41.9831,2.8249",Europe/Madrid
224,98.209.147.237,11809,"AS7922 Comcast Cable Communications, LLC",Dearborn,US,Michigan,48120,c-98-209-147-237.hsd1.mi.comcast.net,"42.3223,-83.1763",America/Detroit
225,24.182.189.47,11753,AS20115 Charter Communications,Saint Peters,US,Missouri,63376,024-182-189-047.res.spectrum.com,"38.8003,-90.6265",America/Chicago
226,45.146.164.229,11526,AS49505 OOO Network of data-centers Selectel,Moscow,RU,Moscow,101000,0,"55.7522,37.6156",Europe/Moscow
227,91.213.50.137,11503,AS50340 OOO Network of data-centers Selectel,Moscow,RU,Moscow,101000,0,"55.7522,37.6156",Europe/Moscow
228,91.213.50.139,11485,AS50340 OOO Network of data-centers Selectel,Moscow,RU,Moscow,101000,0,"55.7522,37.6156",Europe/Moscow
229,91.213.50.138,11452,AS50340 OOO Network of data-centers Selectel,Moscow,RU,Moscow,101000,0,"55.7522,37.6156",Europe/Moscow
230,45.146.165.205,11416,AS49505 OOO Network of data-centers Selectel,Moscow,RU,Moscow,101000,0,"55.7522,37.6156",Europe/Moscow
231,91.213.50.87,11409,AS50340 OOO Network of data-centers Selectel,Moscow,RU,Moscow,101000,0,"55.7522,37.6156",Europe/Moscow
232,91.213.50.136,11387,AS50340 OOO Network of data-centers Selectel,Moscow,RU,Moscow,101000,0,"55.7522,37.6156",Europe/Moscow
233,91.213.50.135,11351,AS50340 OOO Network of data-centers Selectel,Moscow,RU,Moscow,101000,0,"55.7522,37.6156",Europe/Moscow
234,91.213.50.90,11332,AS50340 OOO Network of data-centers Selectel,Moscow,RU,Moscow,101000,0,"55.7522,37.6156",Europe/Moscow
235,91.213.50.88,11329,AS50340 OOO Network of data-centers Selectel,Moscow,RU,Moscow,101000,0,"55.7522,37.6156",Europe/Moscow
236,91.213.50.89,11271,AS50340 OOO Network of data-centers Selectel,Moscow,RU,Moscow,101000,0,"55.7522,37.6156",Europe/Moscow
237,85.190.153.177,11245,AS199610 marbis GmbH,Miami,US,Florida,33102,0,"25.7743,-80.1937",America/New_York
238,24.189.29.126,11165,AS6128 Cablevision Systems Corp.,New York City,US,New York,10004,ool-18bd1d7e.dyn.optonline.net,"40.7143,-74.0060",America/New_York
239,184.101.146.101,11115,"AS209 CenturyLink Communications, LLC",Phoenix,US,Arizona,85001,184-101-146-101.phnx.qwest.net,"33.4484,-112.0740",America/Phoenix
240,5.101.166.85,11097,AS199610 marbis GmbH,Frankfurt am Main,DE,Hesse,60311,0,"50.1155,8.6842",Europe/Berlin
241,89.248.167.141,10923,AS202425 IP Volume inc,Amsterdam,NL,North Holland,1012,scanner.openportstats.com,"52.3740,4.8897",Europe/Amsterdam
242,80.82.65.74,10744,AS202425 IP Volume inc,Amsterdam,NL,North Holland,1012,scanner.openportstats.com,"52.3740,4.8897",Europe/Amsterdam
243,68.33.47.63,10553,"AS33657 Comcast Cable Communications, LLC",Baltimore,US,Maryland,21201,c-68-33-47-63.hsd1.dc.comcast.net,"39.2904,-76.6122",America/New_York
244,98.167.33.23,10472,AS22773 Cox Communications Inc.,Las Vegas,US,Nevada,89111,ip98-167-33-23.lv.lv.cox.net,"36.1750,-115.1372",America/Los_Angeles
245,45.129.33.120,10467,AS202425 IP Volume inc,Berngau,DE,Bavaria,92361,0,"49.2500,11.4000",Europe/Berlin
246,193.27.228.154,10379,AS49505 OOO Network of data-centers Selectel,Moscow,RU,Moscow,101000,0,"55.7522,37.6156",Europe/Moscow
247,83.97.20.31,10294,AS9009 M247 Ltd,Bucharest,RO,Bucureşti,020011,31.20.97.83.ro.ovo.sc,"44.4323,26.1063",Europe/Bucharest
248,193.27.228.156,10262,AS49505 OOO Network of data-centers Selectel,Moscow,RU,Moscow,101000,0,"55.7522,37.6156",Europe/Moscow
249,79.137.42.24,10258,AS16276 OVH SAS,Strasbourg,FR,Grand Est,67000,ns3070692.ip-79-137-42.eu,"48.5839,7.7455",Europe/Paris
250,89.248.165.5,10231,AS202425 IP Volume inc,Amsterdam,NL,North Holland,1012,0,"52.3740,4.8897",Europe/Amsterdam
251,97.85.103.95,10228,AS20115 Charter Communications,Leeds,US,Alabama,35094,097-085-103-095.res.spectrum.com,"33.5482,-86.5444",America/Chicago
252,134.209.88.45,10216,"AS14061 DigitalOcean, LLC",Amsterdam,NL,North Holland,1012,puregreen.coffee,"52.3740,4.8897",Europe/Amsterdam
253,147.10.225.119,10214,AS135887 Belong  (Telstra Corporation),Melbourne,AU,Victoria,3000,static.belong.com.au,"-37.8140,144.9633",Australia/Melbourne
254,89.248.172.196,10120,AS202425 IP Volume inc,Amsterdam,NL,North Holland,1012,scanner.openportstats.com,"52.3740,4.8897",Europe/Amsterdam
255,70.238.250.211,10111,"AS7018 AT&T Services, Inc.",Chicago,US,Illinois,60666,70-238-250-211.lightspeed.cicril.sbcglobal.net,"41.8500,-87.6500",America/Chicago
256,195.54.160.228,10061,AS49505 OOO Network of data-centers Selectel,Saint Petersburg,RU,St.-Petersburg,190000,0,"59.9386,30.3141",Europe/Moscow
257,76.110.21.32,10027,"AS7922 Comcast Cable Communications, LLC",West Palm Beach,US,Florida,33402,c-76-110-21-32.hsd1.fl.comcast.net,"26.7153,-80.0534",America/New_York
258,94.102.57.180,10013,AS202425 IP Volume inc,Amsterdam,NL,North Holland,1012,0,"52.3740,4.8897",Europe/Amsterdam
259,185.39.10.91,10002,AS62355 Network Dedicated SAS,Bogotá,CO,Bogota D.C.,111411,0,"4.6097,-74.0817",America/Bogota
260,94.102.57.185,10001,AS202425 IP Volume inc,Amsterdam,NL,North Holland,1012,0,"52.3740,4.8897",Europe/Amsterdam
261,94.102.57.178,10001,AS202425 IP Volume inc,Amsterdam,NL,North Holland,1012,0,"52.3740,4.8897",Europe/Amsterdam
262,94.102.57.135,10000,AS202425 IP Volume inc,Amsterdam,NL,North Holland,1012,tarak.collaboratemotivate.com,"52.3740,4.8897",Europe/Amsterdam
263,89.248.162.164,10000,AS202425 IP Volume inc,Amsterdam,NL,North Holland,1012,no-reverse-dns-configured.com,"52.3740,4.8897",Europe/Amsterdam
264,89.248.162.220,10000,AS202425 IP Volume inc,Amsterdam,NL,North Holland,1012,dns03.bitwire.nl,"52.3740,4.8897",Europe/Amsterdam
265,94.102.57.182,10000,AS202425 IP Volume inc,Amsterdam,NL,North Holland,1012,0,"52.3740,4.8897",Europe/Amsterdam
266,185.39.10.89,10000,AS62355 Network Dedicated SAS,Bogotá,CO,Bogota D.C.,111411,0,"4.6097,-74.0817",America/Bogota
267,80.82.64.98,10000,AS202425 IP Volume inc,Amsterdam,NL,North Holland,1012,0,"52.3740,4.8897",Europe/Amsterdam
268,193.29.13.31,9999,AS42397 Bunea TELECOM SRL,Timişoara,RO,Timiş,300001,0,"45.7537,21.2257",Europe/Bucharest
269,45.129.33.151,9866,AS202425 IP Volume inc,Berngau,DE,Bavaria,92361,0,"49.2500,11.4000",Europe/Berlin
270,93.174.93.123,9817,AS202425 IP Volume inc,Amsterdam,NL,North Holland,1012,scanner.openportstats.com,"52.3740,4.8897",Europe/Amsterdam
271,74.208.236.141,9814,AS8560 1&1 IONOS SE,Kansas City,US,Missouri,64121,74-208-236-141.elastic-ssl.ui-r.com,"39.0997,-94.5786",America/Chicago
272,70.176.79.156,9666,AS22773 Cox Communications Inc.,Tucson,US,Arizona,85702,ip70-176-79-156.ph.ph.cox.net,"32.2217,-110.9265",America/Phoenix
273,73.239.131.65,9629,"AS7922 Comcast Cable Communications, LLC",Spokane,US,Washington,99209,c-73-239-131-65.hsd1.wa.comcast.net,"47.6597,-117.4291",America/Los_Angeles
274,92.63.197.53,9623,AS204655 Novogara LTD,Novosibirsk,RU,Novosibirsk Oblast,630091,0,"55.0411,82.9344",Asia/Novosibirsk
275,1.1.1.1,9620,"AS13335 Cloudflare, Inc.",Miami,US,Florida,33132,one.one.one.one,"25.7867,-80.1800",America/New_York
276,92.63.197.97,9531,AS204655 Novogara LTD,Novosibirsk,RU,Novosibirsk Oblast,630091,0,"55.0411,82.9344",Asia/Novosibirsk
277,45.146.165.24,9454,AS49505 OOO Network of data-centers Selectel,Moscow,RU,Moscow,101000,0,"55.7522,37.6156",Europe/Moscow
278,72.197.236.99,9404,AS22773 Cox Communications Inc.,San Diego,US,California,92101,ip72-197-236-99.sd.sd.cox.net,"32.7157,-117.1647",America/Los_Angeles
279,85.190.156.56,9285,AS199610 marbis GmbH,Los Angeles,US,California,90009,0,"34.0522,-118.2437",America/Los_Angeles
280,108.219.236.47,9192,"AS7018 AT&T Services, Inc.",Detroit,US,Michigan,48226,108-219-236-47.lightspeed.livnmi.sbcglobal.net,"42.3314,-83.0457",America/Detroit
281,193.27.229.207,9188,AS49505 OOO Network of data-centers Selectel,Saint Petersburg,RU,St.-Petersburg,190000,0,"59.9386,30.3141",Europe/Moscow
282,104.190.210.143,9164,"AS7018 AT&T Services, Inc.",O'Fallon,US,Missouri,63366,0,"38.8106,-90.6998",America/Chicago
283,92.63.197.55,9130,AS204655 Novogara LTD,Novosibirsk,RU,Novosibirsk Oblast,630091,0,"55.0411,82.9344",Asia/Novosibirsk
284,45.129.33.43,9115,AS202425 IP Volume inc,Berngau,DE,Bavaria,92361,0,"49.2500,11.4000",Europe/Berlin
285,185.193.91.238,9073,AS44446 OOO SibirInvest,Odessa,UA,Odessa,65000,0,"46.4857,30.7438",Europe/Kiev
286,193.27.228.157,9048,AS49505 OOO Network of data-centers Selectel,Moscow,RU,Moscow,101000,0,"55.7522,37.6156",Europe/Moscow
287,45.134.26.225,9020,AS49505 OOO Network of data-centers Selectel,Moscow,RU,Moscow,101000,0,"55.7522,37.6156",Europe/Moscow
288,172.58.7.72,8892,"AS21928 T-Mobile USA, Inc.",Atlanta,US,Georgia,30302,0,"33.7490,-84.3880",America/New_York
289,194.87.139.133,8884,AS24961 myLoc managed IT AG,Düsseldorf,DE,North Rhine-Westphalia,40212,0,"51.2217,6.7762",Europe/Berlin
290,2.188.92.9,8881,AS43754 Asiatech Data Transmission company,Tehran,IR,Tehrān,0,0,"35.6944,51.4215",Asia/Tehran
291,185.175.93.104,8621,AS44446 OOO SibirInvest,Kyiv,UA,Kyiv City,03027,0,"50.4547,30.5238",Europe/Kiev
292,88.99.66.31,8601,AS24940 Hetzner Online GmbH,Oberdorla,DE,Thuringia,99986,iplogger.com,"51.1658,10.4216",Europe/Berlin
293,77.234.44.186,8589,AS198605 AVAST Software s.r.o.,New York City,US,New York,10004,ten.emfme.net,"40.7143,-74.0060",America/New_York
294,73.135.120.80,8529,"AS7922 Comcast Cable Communications, LLC",Salisbury,US,Maryland,21801,c-73-135-120-80.hsd1.va.comcast.net,"38.3607,-75.5994",America/New_York
295,45.129.33.152,8506,AS202425 IP Volume inc,Berngau,DE,Bavaria,92361,0,"49.2500,11.4000",Europe/Berlin
296,92.63.196.47,8454,AS47981 Romanenko Stanislav Sergeevich,Amsterdam,NL,North Holland,1012,0,"52.3740,4.8897",Europe/Amsterdam
297,5.182.83.42,8412,AS48146 Triple A Fibra S.L.,Murcia,ES,Murcia,30001,0,"37.9870,-1.1300",Europe/Madrid
298,92.63.196.23,8400,AS47981 Romanenko Stanislav Sergeevich,Amsterdam,NL,North Holland,1012,0,"52.3740,4.8897",Europe/Amsterdam
299,185.193.91.42,8377,AS44446 OOO SibirInvest,Odessa,UA,Odessa,65000,0,"46.4857,30.7438",Europe/Kiev
300,73.36.104.215,8324,"AS7922 Comcast Cable Communications, LLC",Hammond,US,Indiana,46324,c-73-36-104-215.hsd1.in.comcast.net,"41.5834,-87.5000",America/Chicago
301,185.175.93.24,8278,AS44446 OOO SibirInvest,Kyiv,UA,Kyiv City,03027,0,"50.4547,30.5238",Europe/Kiev
302,45.135.232.39,8250,AS50340 OOO Network of data-centers Selectel,Moscow,RU,Moscow,101000,0,"55.7522,37.6156",Europe/Moscow
303,185.215.215.152,8201,AS2856 British Telecommunications PLC,Corby,GB,England,NN17,0,"52.4964,-0.6894",Europe/London
304,37.10.127.224,8125,AS199610 marbis GmbH,Los Angeles,US,California,90009,0,"34.0522,-118.2437",America/Los_Angeles
305,185.39.10.54,8116,AS62355 Network Dedicated SAS,Bogotá,CO,Bogota D.C.,111411,0,"4.6097,-74.0817",America/Bogota
306,134.255.240.105,8078,AS199610 marbis GmbH,Miami,US,Florida,33102,0,"25.7743,-80.1937",America/New_York
307,78.128.113.42,8057,AS59900 Balkan Internet Exchange Ltd,Sofia,BG,Sofia-Capital,1000,ip-113-42.4vendeta.com,"42.6975,23.3241",Europe/Sofia
308,92.63.197.61,8050,AS204655 Novogara LTD,Novosibirsk,RU,Novosibirsk Oblast,630091,0,"55.0411,82.9344",Asia/Novosibirsk
309,45.129.33.123,7915,AS202425 IP Volume inc,Berngau,DE,Bavaria,92361,0,"49.2500,11.4000",Europe/Berlin
310,104.239.145.241,7846,AS33070 Rackspace Hosting,El Segundo,US,California,90245,0,"33.9192,-118.4165",America/Los_Angeles
311,193.27.229.47,7760,AS49505 OOO Network of data-centers Selectel,Moscow,RU,Moscow,101000,0,"55.7522,37.6156",Europe/Moscow
312,45.129.33.49,7732,AS202425 IP Volume inc,Berngau,DE,Bavaria,92361,0,"49.2500,11.4000",Europe/Berlin
313,24.59.211.38,7704,AS11351 Charter Communications Inc,West Scarborough,US,Maine,04074,cpe-24-59-211-38.twcny.res.rr.com,"43.5704,-70.3878",America/New_York
314,85.190.154.113,7702,AS199610 marbis GmbH,Frankfurt am Main,DE,Hesse,60311,0,"50.1155,8.6842",Europe/Berlin
